Ctr-10	34033979
Ctr-11	28302544
Ctr-14	34941799
Ctr-1	31927392
Ctr-23	41529169
Ctr-24	38454678
Ctr-25	44937253
Ctr-26	35865124
Ctr-27	30969080
Ctr-28	30856329
Ctr-29	33702605
Ctr-30	41518027
Ctr-31	53728161
Ctr-32	47645800
Ctr-33	30072285
Ctr-3	31988958
Ctr-4	46105515
Ctr-5	38572603
Ctr-6	48856440
Ctr-7	30917123
Ctr-8	46067968
Ctr-9	36014343
PD-10	38165909
PD-11	32017551
PD-12	31578540
PD-13	36333212
PD-14	28329379
PD-15	36533593
PD-16	30974871
PD-17	32053116
PD-1	31796131
PD-2	33345036
PD-36	30027383
PD-37	49454275
PD-38	43599341
PD-39	44081199
PD-3	37881202
PD-40	47132273
PD-41	43188684
PD-42	50605890
PD-43	47280857
PD-44	38381157
PD-45	35728614
PD-4	30020659
PD-5	33977239
PD-6	33279609
PD-7	33747670
PD-8	37739955
PD-9	35419756
